id,purchase,test,imp_1,imp_2,imp_3,imp_4,imp_5,imp_6
545716,1,1,0,1,0,0,0,0
893524,1,1,1,0,0,17,0,1
1372718,1,1,0,0,0,10,0,0
971359,1,1,14,37,1,7,0,7
59999,1,1,0,0,0,13,0,0
842034,1,0,0,1,0,0,0,0
731724,0,1,2,272,0,18,0,2
49425,0,0,0,0,0,0,0,1
1351203,1,1,97,214,0,11,3,13
357681,0,1,0,0,0,0,0,2
429636,0,1,0,2,0,0,0,0
433607,1,0,0,0,0,0,0,2
1101847,0,1,0,0,0,0,0,1
867427,1,1,0,6,0,0,0,0
68980,0,1,0,0,0,0,0,3
848782,1,1,0,0,0,14,0,0
979407,1,1,0,6,0,0,0,0
960829,0,1,0,3,0,0,0,0
1003305,0,1,1,0,0,0,0,1
1324641,1,1,8,2,0,0,0,0
838271,1,1,0,0,0,0,0,6
1090721,1,1,0,14,0,0,0,0
1014826,1,1,0,0,0,1,0,0
1183222,0,0,0,9,0,0,0,0
259798,0,1,0,0,0,0,0,1
60742,0,1,0,1,0,0,0,0
428387,1,1,5,0,0,9,0,2
554040,1,1,0,1,0,0,0,0
472647,1,1,2,0,0,2,0,0
953148,1,1,0,0,0,0,0,2
96956,0,1,0,0,0,0,0,2
328479,1,1,0,3,0,0,0,1
690944,0,0,0,0,0,0,0,4
647916,0,1,0,0,0,0,0,1
629491,1,1,0,2,0,0,0,0
1322858,0,1,1,0,0,0,0,0
610863,1,1,0,1,0,0,0,1
947246,1,1,1,4,0,0,0,0
1323790,1,1,0,0,0,3,0,0
1355838,1,1,0,0,0,0,0,8
42598,1,1,1,2,0,0,0,0
1333207,1,1,0,0,0,1,0,2
1187584,1,1,0,1,0,0,0,0
594772,1,1,0,0,0,0,0,1
773415,1,1,10,9,0,12,0,0
809801,0,1,0,1,0,0,0,0
501770,1,0,0,0,2,0,0,0
1177434,1,1,0,3,0,2,0,0
660882,1,1,1,0,0,0,0,0
178348,1,1,0,0,0,1,0,0
667810,1,1,0,0,0,2,0,0
117417,1,1,3,7,0,0,0,1
422035,0,0,0,1,0,0,0,2
191787,0,1,0,0,0,0,0,1
849809,1,1,0,1,0,0,0,2
767635,0,1,0,0,0,0,0,1
492193,1,1,1,0,0,1,0,0
1288243,1,1,0,3,0,0,0,0
566373,1,0,0,0,0,0,0,1
1377048,0,1,0,0,0,0,0,1
1160492,1,0,0,0,0,3,0,1
873273,1,1,0,9,0,0,0,0
1253310,1,0,0,0,1,0,0,0
66641,1,1,0,0,0,0,0,1
